 ;Warrior Recreation Center / Power / Mean values [kW]
"=""24/03/ 5:00 PM""";2.39
"=""24/03/ 6:00 PM""";1.24
"=""24/03/ 7:00 PM""";0.19
"=""24/03/ 8:00 PM""";0.00
"=""24/03/ 9:00 PM"""; 
"=""24/03/ 10:00 PM"""; 
"=""24/03/ 11:00 PM"""; 
"=""25/03/ 12:00 AM"""; 
"=""25/03/ 1:00 AM"""; 
"=""25/03/ 2:00 AM"""; 
"=""25/03/ 3:00 AM"""; 
"=""25/03/ 4:00 AM"""; 
"=""25/03/ 5:00 AM"""; 
"=""25/03/ 6:00 AM"""; 
"=""25/03/ 7:00 AM""";0.00
"=""25/03/ 8:00 AM""";0.44
"=""25/03/ 9:00 AM""";1.81
"=""25/03/ 10:00 AM""";2.67
"=""25/03/ 11:00 AM""";3.31
"=""25/03/ 12:00 PM""";3.63
"=""25/03/ 1:00 PM""";3.74
"=""25/03/ 2:00 PM""";3.62
"=""25/03/ 3:00 PM""";3.42
"=""25/03/ 4:00 PM""";3.07
"=""25/03/ 5:00 PM""";2.37
"=""25/03/ 6:00 PM""";1.32
"=""25/03/ 7:00 PM""";0.23
"=""25/03/ 8:00 PM""";0.00
"=""25/03/ 9:00 PM"""; 
"=""25/03/ 10:00 PM"""; 
"=""25/03/ 11:00 PM"""; 
"=""26/03/ 12:00 AM"""; 
"=""26/03/ 1:00 AM"""; 
"=""26/03/ 2:00 AM"""; 
"=""26/03/ 3:00 AM"""; 
"=""26/03/ 4:00 AM"""; 
"=""26/03/ 5:00 AM"""; 
"=""26/03/ 6:00 AM"""; 
"=""26/03/ 7:00 AM""";0.00
"=""26/03/ 8:00 AM""";0.43
"=""26/03/ 9:00 AM""";1.61
"=""26/03/ 10:00 AM""";2.52
"=""26/03/ 11:00 AM""";3.22
"=""26/03/ 12:00 PM""";3.54
"=""26/03/ 1:00 PM""";3.73
"=""26/03/ 2:00 PM""";3.63
"=""26/03/ 3:00 PM""";3.03
"=""26/03/ 4:00 PM""";2.55
"=""26/03/ 5:00 PM""";2.13
"=""26/03/ 6:00 PM""";1.33
"=""26/03/ 7:00 PM""";0.23
"=""26/03/ 8:00 PM""";0.00
"=""26/03/ 9:00 PM"""; 
"=""26/03/ 10:00 PM"""; 
"=""26/03/ 11:00 PM"""; 
"=""27/03/ 12:00 AM"""; 
