 ;Warrior Recreation Center / Power / Mean values [kW]
"=""03/08/ 7:00 PM""";0.37
"=""03/08/ 8:00 PM""";0.01
"=""03/08/ 9:00 PM"""; 
"=""03/08/ 10:00 PM"""; 
"=""03/08/ 11:00 PM"""; 
"=""04/08/ 12:00 AM"""; 
"=""04/08/ 1:00 AM"""; 
"=""04/08/ 2:00 AM"""; 
"=""04/08/ 3:00 AM"""; 
"=""04/08/ 4:00 AM"""; 
"=""04/08/ 5:00 AM"""; 
"=""04/08/ 6:00 AM"""; 
"=""04/08/ 7:00 AM""";0.04
"=""04/08/ 8:00 AM""";0.45
"=""04/08/ 9:00 AM""";1.48
"=""04/08/ 10:00 AM""";1.63
"=""04/08/ 11:00 AM""";2.24
"=""04/08/ 12:00 PM""";2.83
"=""04/08/ 1:00 PM""";2.53
"=""04/08/ 2:00 PM""";2.92
"=""04/08/ 3:00 PM""";2.80
"=""04/08/ 4:00 PM""";2.17
"=""04/08/ 5:00 PM""";1.90
"=""04/08/ 6:00 PM""";0.98
"=""04/08/ 7:00 PM""";0.32
"=""04/08/ 8:00 PM""";0.01
"=""04/08/ 9:00 PM"""; 
"=""04/08/ 10:00 PM"""; 
"=""04/08/ 11:00 PM"""; 
"=""05/08/ 12:00 AM"""; 
"=""05/08/ 1:00 AM"""; 
"=""05/08/ 2:00 AM"""; 
"=""05/08/ 3:00 AM"""; 
"=""05/08/ 4:00 AM"""; 
"=""05/08/ 5:00 AM"""; 
"=""05/08/ 6:00 AM"""; 
"=""05/08/ 7:00 AM""";0.03
"=""05/08/ 8:00 AM""";0.62
"=""05/08/ 9:00 AM""";1.58
"=""05/08/ 10:00 AM""";1.91
"=""05/08/ 11:00 AM""";2.18
"=""05/08/ 12:00 PM""";2.55
"=""05/08/ 1:00 PM""";2.98
"=""05/08/ 2:00 PM""";2.91
"=""05/08/ 3:00 PM""";2.43
"=""05/08/ 4:00 PM""";1.84
"=""05/08/ 5:00 PM""";1.47
"=""05/08/ 6:00 PM""";0.88
"=""05/08/ 7:00 PM""";0.26
"=""05/08/ 8:00 PM""";0.00
"=""05/08/ 9:00 PM"""; 
"=""05/08/ 10:00 PM"""; 
"=""05/08/ 11:00 PM"""; 
"=""06/08/ 12:00 AM"""; 
"=""06/08/ 1:00 AM"""; 
"=""06/08/ 2:00 AM"""; 
"=""06/08/ 3:00 AM"""; 
"=""06/08/ 4:00 AM"""; 
"=""06/08/ 5:00 AM"""; 
"=""06/08/ 6:00 AM"""; 
"=""06/08/ 7:00 AM""";0.01
"=""06/08/ 8:00 AM""";0.49
"=""06/08/ 9:00 AM""";1.41
"=""06/08/ 10:00 AM""";0.88
"=""06/08/ 11:00 AM"""; 
"=""06/08/ 12:00 PM"""; 
"=""06/08/ 1:00 PM"""; 
"=""06/08/ 2:00 PM"""; 
"=""06/08/ 3:00 PM"""; 
"=""06/08/ 4:00 PM"""; 
"=""06/08/ 5:00 PM"""; 
"=""06/08/ 6:00 PM"""; 
"=""06/08/ 7:00 PM"""; 
"=""06/08/ 8:00 PM"""; 
"=""06/08/ 9:00 PM"""; 
"=""06/08/ 10:00 PM"""; 
"=""06/08/ 11:00 PM"""; 
"=""07/08/ 12:00 AM"""; 
