 ;Warrior Recreation Center / Power / Mean values [kW]
"=""21/06/ 4:00 PM""";2.62
"=""21/06/ 5:00 PM""";2.07
"=""21/06/ 6:00 PM""";1.23
"=""21/06/ 7:00 PM""";0.33
"=""21/06/ 8:00 PM""";0.02
"=""21/06/ 9:00 PM"""; 
"=""21/06/ 10:00 PM"""; 
"=""21/06/ 11:00 PM"""; 
"=""22/06/ 12:00 AM"""; 
"=""22/06/ 1:00 AM"""; 
"=""22/06/ 2:00 AM"""; 
"=""22/06/ 3:00 AM"""; 
"=""22/06/ 4:00 AM"""; 
"=""22/06/ 5:00 AM"""; 
"=""22/06/ 6:00 AM""";0.00
"=""22/06/ 7:00 AM""";0.03
"=""22/06/ 8:00 AM""";0.36
"=""22/06/ 9:00 AM""";1.51
"=""22/06/ 10:00 AM""";1.66
"=""22/06/ 11:00 AM""";1.82
"=""22/06/ 12:00 PM""";2.84
"=""22/06/ 1:00 PM""";2.97
"=""22/06/ 2:00 PM""";3.00
"=""22/06/ 3:00 PM""";2.75
"=""22/06/ 4:00 PM""";2.51
"=""22/06/ 5:00 PM""";0.88
"=""22/06/ 6:00 PM""";1.06
"=""22/06/ 7:00 PM""";0.40
"=""22/06/ 8:00 PM""";0.03
"=""22/06/ 9:00 PM"""; 
"=""22/06/ 10:00 PM"""; 
"=""22/06/ 11:00 PM"""; 
"=""23/06/ 12:00 AM"""; 
"=""23/06/ 1:00 AM"""; 
"=""23/06/ 2:00 AM"""; 
"=""23/06/ 3:00 AM"""; 
"=""23/06/ 4:00 AM"""; 
"=""23/06/ 5:00 AM"""; 
"=""23/06/ 6:00 AM"""; 
"=""23/06/ 7:00 AM""";0.03
"=""23/06/ 8:00 AM""";0.35
"=""23/06/ 9:00 AM""";0.95
"=""23/06/ 10:00 AM""";2.32
"=""23/06/ 11:00 AM""";2.69
"=""23/06/ 12:00 PM""";2.21
"=""23/06/ 1:00 PM""";2.46
"=""23/06/ 2:00 PM""";2.12
"=""23/06/ 3:00 PM""";2.23
"=""23/06/ 4:00 PM""";2.10
"=""23/06/ 5:00 PM""";0.85
"=""23/06/ 6:00 PM""";0.32
"=""23/06/ 7:00 PM""";0.17
"=""23/06/ 8:00 PM""";0.01
"=""23/06/ 9:00 PM"""; 
"=""23/06/ 10:00 PM"""; 
"=""23/06/ 11:00 PM"""; 
"=""24/06/ 12:00 AM"""; 
"=""24/06/ 1:00 AM"""; 
"=""24/06/ 2:00 AM"""; 
"=""24/06/ 3:00 AM"""; 
"=""24/06/ 4:00 AM"""; 
"=""24/06/ 5:00 AM"""; 
"=""24/06/ 6:00 AM"""; 
"=""24/06/ 7:00 AM""";0.04
"=""24/06/ 8:00 AM""";0.46
"=""24/06/ 9:00 AM""";0.83
"=""24/06/ 10:00 AM""";1.49
"=""24/06/ 11:00 AM""";2.01
"=""24/06/ 12:00 PM""";2.29
"=""24/06/ 1:00 PM""";2.61
"=""24/06/ 2:00 PM""";3.11
"=""24/06/ 3:00 PM""";2.21
"=""24/06/ 4:00 PM""";1.76
"=""24/06/ 5:00 PM""";0.87
"=""24/06/ 6:00 PM""";0.41
"=""24/06/ 7:00 PM""";0.18
"=""24/06/ 8:00 PM""";0.02
"=""24/06/ 9:00 PM"""; 
"=""24/06/ 10:00 PM"""; 
"=""24/06/ 11:00 PM"""; 
"=""25/06/ 12:00 AM"""; 
"=""25/06/ 1:00 AM"""; 
"=""25/06/ 2:00 AM"""; 
"=""25/06/ 3:00 AM"""; 
"=""25/06/ 4:00 AM"""; 
"=""25/06/ 5:00 AM"""; 
"=""25/06/ 6:00 AM"""; 
"=""25/06/ 7:00 AM""";0.04
"=""25/06/ 8:00 AM""";0.33
"=""25/06/ 9:00 AM""";1.39
"=""25/06/ 10:00 AM""";2.32
"=""25/06/ 11:00 AM""";2.57
"=""25/06/ 12:00 PM""";2.79
"=""25/06/ 1:00 PM""";2.83
"=""25/06/ 2:00 PM""";2.68
"=""25/06/ 3:00 PM""";2.98
"=""25/06/ 4:00 PM""";2.67
"=""25/06/ 5:00 PM""";2.10
"=""25/06/ 6:00 PM""";1.29
"=""25/06/ 7:00 PM""";0.30
"=""25/06/ 8:00 PM""";0.01
"=""25/06/ 9:00 PM"""; 
"=""25/06/ 10:00 PM"""; 
"=""25/06/ 11:00 PM"""; 
"=""26/06/ 12:00 AM"""; 
