 ;Warrior Recreation Center / Power / Mean values [kW]
"=""09/07/ 3:00 PM""";2.54
"=""09/07/ 4:00 PM""";2.01
"=""09/07/ 5:00 PM""";1.31
"=""09/07/ 6:00 PM""";0.71
"=""09/07/ 7:00 PM""";0.17
"=""09/07/ 8:00 PM""";0.00
"=""09/07/ 9:00 PM"""; 
"=""09/07/ 10:00 PM"""; 
"=""09/07/ 11:00 PM"""; 
"=""10/07/ 12:00 AM"""; 
