"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","Panel 4A [kW]","Panel 4A* [kVA]","Panel 4A Power Factor []","Panel 4G [kW]","PACU-1 [kW]","PACU-2 [kW]","CT4L1 [kW]","CT5L2 [kW]","CT6L3 [kW]","SOLAR [kW]"
2026-06-19 09:33:00,89.744730000,0.032080000,274.594464154,275.352135301,275.483728640,0.897784487,3.139023482,3.398311273,-0.474496667,2.047051111,0.233650011,1.902217778,49.742343333,38.574665556,-2.405937778,-6.872068889,-0.147763333,-0.032080000
2026-06-19 09:18:00,66.445423333,0.025881111,276.415267573,277.102360939,277.263504280,0.899625598,3.162195706,3.484399054,-0.482770000,2.091042222,0.232863344,1.792344444,23.616452222,41.519396667,-2.485204444,-6.874573333,-0.091190000,-0.025881111
2026-06-19 09:03:00,83.825968889,0.017812222,276.681769808,277.345930951,277.566315406,0.898415598,3.155545705,3.521130167,-0.477945556,2.101105556,0.229340011,1.913353333,49.217758889,33.172802222,-2.414412222,-6.871007778,-0.149582222,-0.017812222
2026-06-19 08:48:00,56.302457778,0.025986667,277.047566492,277.686753189,277.901495422,0.898148932,3.165353484,3.542314613,-0.485131111,2.112228889,0.231460011,1.773772222,24.918876667,30.094940000,-2.511762222,-6.874805556,-0.087895556,-0.025986667
2026-06-19 08:33:00,85.606197778,0.015586667,276.604429805,277.252108724,277.320725394,0.907368932,3.095074591,3.372525716,-0.504076667,2.044368889,0.248723345,1.908260000,45.977907778,38.224106667,-2.417007778,-6.871284444,-0.147687778,-0.015586667
2026-06-19 08:18:00,70.664103333,0.005125556,275.031456397,275.586209756,275.626887536,0.893170042,3.070540146,3.346799048,-0.504636667,2.014300000,0.252757790,1.809532222,37.934756667,31.424451111,-2.492284444,-6.873961111,-0.116164444,-0.005125556
2026-06-19 08:03:00,75.087766667,0.005011111,275.317623077,275.810508656,275.832738657,0.891390042,3.022946810,3.254994599,-0.553838889,1.977020000,0.282508902,1.808651111,35.288724444,38.544230000,-2.488944444,-6.873490000,-0.113552222,-0.005011111
2026-06-19 07:48:00,79.318214444,0.003596667,274.588309709,275.031544174,275.049153064,0.893792265,3.008362365,3.251222377,-0.549078889,1.967092222,0.281566680,1.833107778,47.826314444,30.207871111,-2.480796667,-6.872471111,-0.134582222,-0.003596667
2026-06-19 07:33:00,55.866947778,0.010180000,274.501870816,275.067779732,275.021815285,0.897047820,3.006937921,3.279615711,-0.549795556,1.975326667,0.280670013,1.704266667,24.665026667,30.047450000,-2.570334444,-6.876623333,-0.077167778,-0.010180000
2026-06-19 07:18:00,79.069488889,0.004541111,274.140074132,274.720188604,274.575640819,0.887546709,3.048603478,3.268752377,-0.546004444,1.978353333,0.278408902,1.798942222,47.773027778,30.043523333,-2.517640000,-6.873745556,-0.131960000,-0.004541111
2026-06-19 07:03:00,53.852591111,0.009485556,274.705025270,275.086005288,275.037120841,0.895920043,4.102726862,3.334579047,-1.010143333,2.291952222,0.436658910,1.658028889,23.178657778,30.026047778,-2.611482222,-6.875794444,-0.069798889,-0.009485556
2026-06-19 06:48:00,77.316167778,-0.004167778,274.730694160,275.134689735,275.128678623,0.902246710,4.681312445,3.321853491,-1.235384444,2.449804444,0.506397802,1.794161111,46.778135556,29.979255556,-2.523522222,-6.872828889,-0.128288889,0.004167778
2026-06-19 06:33:00,54.675564444,0.015940000,275.182449737,275.662277538,275.659658649,0.899936709,4.792914672,3.378056827,-1.267915556,2.500105556,0.509063358,1.665817778,24.363234444,29.914427778,-2.621287778,-6.878031111,-0.075434444,-0.015940000
2026-06-19 06:18:00,77.003624444,0.005113333,276.250815343,276.524573134,276.677795364,0.895515598,3.031463477,3.327171269,-0.562157778,2.006220000,0.282515569,1.584678889,46.088023333,29.893080000,-2.542148889,-6.541948889,-0.153731111,-0.005113333
2026-06-19 06:03:00,60.358653333,0.005337778,276.195392007,276.431898685,276.607098694,0.892974487,3.007407921,3.338959047,-0.560762222,2.001593333,0.282755569,1.348084444,29.704977778,29.866353333,-2.610047778,-6.295480000,-0.124954444,-0.005337778
2026-06-19 05:48:00,67.483207778,0.012885556,276.112362004,276.370985349,276.514322023,0.899124487,3.744644622,3.408491273,-0.880723333,2.225661111,0.396115574,1.654612222,39.063818889,27.645500000,-2.355907778,-6.276142222,0.010322222,-0.012885556
2026-06-19 05:33:00,61.705353333,0.003125556,276.323284236,276.708769810,276.756512034,0.895574487,3.916150186,3.426299052,-0.939435556,2.279356667,0.414798909,1.674212222,33.461923333,27.508653333,-2.349807778,-6.306112222,0.016345556,-0.003125556
2026-06-19 05:18:00,63.668008889,0.000381111,276.528982023,276.813983148,276.916763153,0.903621154,3.905623519,3.427393496,-0.949206667,2.280114444,0.418645575,1.680800000,35.423168889,27.513246667,-2.351932222,-6.304831111,0.011033333,-0.000381111
2026-06-19 05:03:00,65.601350000,0.000584444,276.309256457,276.632105362,276.692676476,0.903148932,3.923841297,3.376227938,-0.954258889,2.269220000,0.422841131,1.681140000,37.171405556,27.703063333,-2.353167778,-6.305042222,0.007172222,-0.000584444
2026-06-19 04:48:00,60.086933333,0.006786667,275.356860857,275.784594210,275.841599768,0.886007820,3.882413518,3.322465713,-0.950310000,2.231152222,0.428354465,1.642331111,31.499517778,27.895394444,-2.372008889,-6.306446667,0.022411111,-0.006786667
2026-06-19 04:33:00,68.581624444,0.002097778,275.421959749,275.847326435,275.867206436,0.900695598,3.919605742,3.329611269,-0.952186667,2.247820000,0.426106687,1.674931111,39.957641111,27.901238889,-2.357222222,-6.305585556,0.002453333,-0.002097778
2026-06-19 04:18:00,56.391416667,0.004401111,275.949007551,276.337872014,276.349134237,0.895777820,3.936959076,3.403124606,-0.954015556,2.275578889,0.421870020,1.620025556,27.799388889,27.926017778,-2.393330000,-6.306668889,0.032068889,-0.004401111
2026-06-19 04:03:00,74.086082222,-0.001820000,275.752151986,276.146379783,276.206649786,0.893268931,3.932089076,3.374041271,-0.950464444,2.264081111,0.422340020,1.708555556,45.413828889,27.914162222,-2.339100000,-6.304057778,-0.012413333,0.001820000
2026-06-19 03:48:00,53.590122222,0.000705556,276.154997561,276.515468689,276.611075361,0.908221154,3.934715742,3.399075717,-0.955430000,2.279033333,0.421843353,1.604757778,25.008885556,27.931908889,-2.409416667,-6.306485556,0.039951111,-0.000705556
2026-06-19 03:33:00,75.744874444,-0.006277778,276.029884222,276.369663127,276.463205354,0.897092265,3.952219077,3.357579048,-0.951383333,2.268150000,0.421935576,1.721262222,47.052900000,27.922095556,-2.332421111,-6.303436667,-0.014705556,0.006277778
2026-06-19 03:18:00,49.380874444,0.001608889,276.605585360,276.939027598,276.956748710,0.896842265,3.949160188,3.377509049,-0.954806667,2.277171111,0.421784464,1.599758889,20.834144444,27.901777778,-2.404650000,-6.306894444,0.049773333,-0.001608889
2026-06-19 03:03:00,75.573326667,-0.007195556,276.185914229,276.527929801,276.539660913,0.896643376,3.953414632,3.393666828,-0.953518889,2.279352222,0.420822242,1.737927778,46.818927778,27.969990000,-2.312798889,-6.303163333,-0.015205556,0.007195556
2026-06-19 02:48:00,50.479562222,0.001364444,276.477975354,276.873669817,276.910312041,0.899315598,3.942253521,3.381009049,-0.954572222,2.276392222,0.421873353,1.608604444,21.866946667,27.958583333,-2.399916667,-6.306518889,0.046706667,-0.001364444
