"Date & Time","Usage [kW]","Generation [kW]","Other [kW]","AC chiller [kW]","AC air handler [kW]","Ceiling fans [kW]","PV [kW]","Light controller [kW]","Lights power [kW]"
2026-08-04 19:16:00,0.000000000,0.000000000,0.000000000,0.001768889,0.011970000,0.272214444,0.000527778,0.077706667,0.009430000
2026-08-04 19:01:00,0.000000000,0.000000000,0.000000000,0.001767778,0.011957778,0.271705556,0.000526667,0.065810000,0.009428889
2026-08-04 18:46:00,0.000000000,0.000000000,0.000000000,0.001774444,0.011944444,0.270562222,-0.017074444,0.040473333,0.009427778
2026-08-04 18:31:00,0.000000000,0.000000000,0.000000000,0.001792222,0.011965556,0.271337778,-0.231851111,0.034926667,0.009427778
2026-08-04 18:16:00,0.000000000,0.000000000,0.000000000,0.001783333,0.011984444,0.271181111,-0.339501111,0.026418889,0.009425556
2026-08-04 18:01:00,0.000000000,0.000000000,0.000000000,0.001822222,0.012013333,0.272347778,-0.661307778,0.024398889,0.009437778
2026-08-04 17:46:00,0.000000000,0.000000000,0.000000000,0.001817778,0.011984444,0.271458889,-0.655913333,0.026331111,0.009435556
2026-08-04 17:31:00,0.000000000,0.000000000,0.000000000,0.001834444,0.011993333,0.272027778,-0.961667778,0.014076667,0.009434444
2026-08-04 17:16:00,0.000000000,0.000000000,0.000000000,0.001831111,0.011914444,0.270867778,-1.288087778,0.021570000,0.009422222
2026-08-04 17:01:00,0.000000000,0.000000000,0.000000000,0.001814444,0.011847778,0.269003333,-1.194352222,0.019575556,0.009412222
2026-08-04 16:46:00,0.000000000,0.000000000,0.000000000,0.001898889,0.011801111,0.270693333,-3.150191111,0.012292222,0.009402222
2026-08-04 16:31:00,0.000000000,0.000000000,0.000000000,0.001912222,0.011788889,0.270863333,-3.495463333,0.012305556,0.009398889
2026-08-04 16:16:00,0.000000000,0.000000000,0.000000000,0.001864444,0.011757778,0.269444444,-2.586522222,0.012313333,0.009395556
2026-08-04 16:01:00,0.000000000,0.000000000,0.000000000,0.001920000,0.011627778,0.268867778,-4.044485556,0.012316667,0.009375556
2026-08-04 15:46:00,0.000000000,0.000000000,0.000000000,0.001881111,0.011674444,0.267897778,-3.188877778,0.012272222,0.009384444
2026-08-04 15:31:00,0.000000000,0.000000000,0.000000000,0.001948889,0.011635556,0.269504444,-4.600117778,0.012293333,0.009378889
2026-08-04 15:16:00,0.000000000,0.000000000,0.000000000,0.001852222,0.011656667,0.266947778,-2.690278889,0.012285556,0.009381111
2026-08-04 15:01:00,0.000000000,0.000000000,0.000000000,0.001927778,0.011664444,0.269952222,-4.075708889,0.012312222,0.009381111
2026-08-04 14:46:00,0.000000000,0.000000000,0.000000000,0.001932222,0.011778889,0.272294444,-4.113837778,0.012186667,0.009398889
2026-08-04 14:31:00,0.000000000,0.000000000,0.000000000,0.001933333,0.011835556,0.272906667,-4.267170000,0.012102222,0.009400000
2026-08-04 14:16:00,0.000000000,0.000000000,0.000000000,0.001983333,0.011750000,0.273086667,-5.534628889,0.012104444,0.009391111
2026-08-04 14:01:00,0.000000000,0.000000000,0.000000000,0.002016667,0.011763333,0.274046667,-5.983152222,0.012095556,0.009392222
2026-08-04 13:46:00,0.000000000,0.000000000,0.000000000,0.001986667,0.011755556,0.273018889,-5.505922222,0.012122222,0.009388889
2026-08-04 13:31:00,0.000000000,0.000000000,0.000000000,0.001992222,0.011783333,0.273864444,-5.477598889,0.012082222,0.009391111
2026-08-04 13:16:00,0.000000000,0.000000000,0.000000000,0.001996667,0.011764444,0.273901111,-5.797492222,0.012101111,0.009388889
2026-08-04 13:01:00,0.000000000,0.000000000,0.000000000,0.001990000,0.011774444,0.273707778,-5.593326667,0.012111111,0.009388889
2026-08-04 12:46:00,0.000000000,0.000000000,0.000000000,0.002017778,0.011765556,0.274695556,-5.929867778,0.012125556,0.009386667
2026-08-04 12:31:00,0.000000000,0.000000000,0.000000000,0.001968889,0.011833333,0.274134444,-4.919408889,0.012103333,0.009395556
2026-08-04 12:16:00,0.000000000,0.000000000,0.000000000,0.001984444,0.011786667,0.273743333,-5.302025556,0.012111111,0.009386667
2026-08-04 12:01:00,0.000000000,0.000000000,0.000000000,0.001907778,0.011885556,0.272744444,-3.483744444,0.012080000,0.009401111
2026-08-04 11:46:00,0.000000000,0.000000000,0.000000000,0.001973333,0.011858889,0.274317778,-4.995415556,0.012110000,0.009395556
2026-08-04 11:31:00,0.000000000,0.000000000,0.000000000,0.001982222,0.011543333,0.268008889,-6.139982222,0.012030000,0.009350000
2026-08-04 11:16:00,0.000000000,0.000000000,0.000000000,0.001941111,0.011536667,0.266247778,-5.129654444,0.012004444,0.009347778
2026-08-04 11:01:00,0.000000000,0.000000000,0.000000000,0.319550000,0.118048889,0.264964444,-5.449848889,0.012007778,0.009337778
2026-08-04 10:46:00,0.000000000,0.000000000,0.000000000,2.403484444,0.513514444,0.268952222,-6.350894444,0.012086667,0.009332222
2026-08-04 10:31:00,0.000000000,0.000000000,0.000000000,2.335985556,0.515530000,0.271273333,-4.900855556,0.012013333,0.009361111
2026-08-04 10:16:00,0.000000000,0.000000000,0.000000000,2.228094444,0.510852222,0.271234444,-4.435284444,0.012005556,0.009364444
2026-08-04 10:01:00,0.000000000,0.000000000,0.000000000,2.184270000,0.524778889,0.269476667,-4.175974444,0.011946667,0.009376667
2026-08-04 09:46:00,0.000000000,0.000000000,0.000000000,2.148174444,0.528272222,0.269184444,-3.798545556,0.011873333,0.009392222
2026-08-04 09:31:00,0.000000000,0.000000000,0.000000000,2.130431111,0.535502222,0.269000000,-2.308743333,0.011896667,0.103266667
2026-08-04 09:16:00,0.000000000,0.000000000,0.000000000,2.131552222,0.510102222,0.271991111,-3.583598889,0.011931111,0.291415556
2026-08-04 09:01:00,0.000000000,0.000000000,0.000000000,2.123841111,0.514728889,0.271994444,-2.972962222,0.011913333,0.256121111
2026-08-04 08:46:00,0.000000000,0.000000000,0.000000000,2.143075556,0.518771111,0.271304444,-2.682188889,0.011900000,0.161497778
