"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","System 1 [kW]","System 1+ [kW]","System 1* [kVA]","System 2 [kW]","System 2+ [kW]","System 2* [kVA]","System 1 Power Factor []","System 2 Power Factor []","CT4 Amperage [A]","CT5 Amperage [A]","CT6 Amperage [A]"
2026-08-04 09:45:00,0.000000000,1169.660444444,277.152673611,276.283246528,276.109618056,722.724791667,725.564583333,725.683125000,596.298844444,596.298844444,601.172693333,573.361600000,573.361600000,581.217706667,0.991777818,0.986477797,699.351458333,701.631458333,700.826944444
2026-08-04 09:30:00,0.000000000,1066.358257778,277.170572917,276.168263889,276.211718750,658.177222222,660.875347222,660.823958333,542.955128889,542.955128889,547.496035556,523.403093333,523.403093333,530.620408889,0.991571181,0.986338908,638.437430556,640.681180556,639.729652778
2026-08-04 09:15:00,0.000000000,1034.579484444,277.132361111,276.109045139,276.248177083,636.053611111,638.637916667,638.424027778,524.655573333,524.655573333,528.966364444,509.923911111,509.923911111,516.789653333,0.991781141,0.986671143,621.906666667,624.074444444,623.085833333
2026-08-04 09:00:00,0.000000000,613.758791111,277.003472222,276.097152778,276.244513889,373.653993056,375.814409722,375.195000000,307.564373333,307.564373333,310.911146667,306.194382222,306.194382222,310.883413333,0.989083388,0.984778917,373.869409722,375.926805556,374.770104167
2026-08-04 08:45:00,0.000000000,1060.436764444,277.207881944,276.305000000,276.274704861,642.599444444,645.035625000,644.985138889,530.063111111,530.063111111,534.594204444,530.373617778,530.373617778,537.944782222,0.991430054,0.985944485,647.073194444,649.284027778,648.365763889
2026-08-04 08:30:00,0.000000000,1221.853013333,276.521857639,275.551406250,275.455677083,741.549791667,744.125555556,744.330416667,611.277297778,611.277297778,615.132302222,610.575715556,610.575715556,617.193102222,0.993716702,0.989294501,744.546597222,746.843263889,746.077569444
2026-08-04 08:15:00,0.000000000,1031.832675556,276.704618056,275.797100694,275.614079861,633.708472222,636.217500000,636.140277778,522.412195556,522.412195556,526.293013333,509.420515556,509.420515556,515.513528889,0.992453410,0.988444485,621.176736111,623.332847222,622.438680556
2026-08-04 08:00:00,0.000000000,1005.155484444,278.239496528,277.284652778,277.003246528,609.818333333,612.135416667,612.001111111,503.391146667,503.391146667,508.872960000,501.764373333,501.764373333,510.902257778,0.988681166,0.981492242,612.648472222,614.736041667,613.851944444
2026-08-04 07:45:00,0.000000000,1248.449848889,278.439513889,277.378524306,277.005972222,758.637708333,761.226597222,761.567916667,626.646257778,626.646257778,633.337884444,621.803662222,621.803662222,633.143324444,0.989428914,0.982080078,758.961944444,761.215625000,760.554375000
2026-08-04 07:30:00,0.000000000,1112.508728889,278.197986111,277.261076389,277.035208333,679.661041667,682.006527778,682.167916667,561.073137778,561.073137778,567.212053333,551.435626667,551.435626667,561.521528889,0.989110040,0.981985609,673.248888889,675.445416667,674.611111111
2026-08-04 07:15:00,0.000000000,896.811377778,277.880121528,277.180815972,276.927309028,541.953993056,544.147708333,543.844652778,446.135324444,446.135324444,452.049848889,450.676017778,450.676017778,459.812195556,0.986193373,0.979442274,551.617777778,553.661770833,552.648715278
2026-08-04 07:00:00,0.000000000,933.326435556,277.674322917,276.987847222,276.687361111,565.795694444,568.145381944,567.753784722,466.063040000,466.063040000,471.600497778,467.263395556,467.263395556,475.794488889,0.988145616,0.981996731,571.245902778,573.288750000,572.289826389
2026-08-04 06:45:00,0.000000000,735.945600000,277.638906250,277.025642361,276.824218750,445.427152778,447.718923611,446.785625000,366.326151111,366.326151111,371.399715556,369.619484444,369.619484444,377.138417778,0.985505575,0.979190063,452.702430556,454.562465278,453.362673611
2026-08-04 06:30:00,0.000000000,483.848355556,277.855173611,277.414826389,277.236406250,295.719687500,298.157812500,296.907013889,241.761973333,241.761973333,247.218062222,242.086400000,242.086400000,249.737884444,0.977461141,0.968784519,299.164513889,300.947881944,299.755381944
2026-08-04 06:15:00,0.000000000,698.788622222,277.626250000,277.110798611,276.830868056,427.951145833,430.580694444,429.529583333,351.761884444,351.761884444,357.050560000,347.026773333,347.026773333,354.652764444,0.984204508,0.977441135,425.607569444,427.508402778,426.301909722
2026-08-04 06:00:00,0.000000000,659.418880000,277.609548611,277.109756944,276.837343750,401.146736111,403.754236111,402.565381944,329.709902222,329.709902222,334.695928889,329.709013333,329.709013333,336.933404444,0.984813368,0.978232286,404.295034722,406.282326389,404.952916667
2026-08-04 05:45:00,0.000000000,528.411946667,276.981545139,276.462031250,276.310138889,323.082187500,325.803506944,324.357500000,265.136711111,265.136711111,269.214808889,263.275235556,263.275235556,268.584142222,0.983293389,0.978725586,322.790659722,324.752048611,323.425486111
2026-08-04 05:30:00,0.000000000,685.338808889,277.281875000,276.714218750,276.547864583,418.649513889,421.474583333,420.136527778,344.542151111,344.542151111,348.962382222,340.796657778,340.796657778,347.039893333,0.986880018,0.981761136,416.862881944,418.879270833,417.590451389
2026-08-04 05:15:00,0.000000000,682.239004444,277.501909722,277.032760417,276.854131944,421.569305556,424.510937500,422.985763889,346.940408889,346.940408889,351.724515556,335.298631111,335.298631111,342.139626667,0.985984497,0.979663357,410.582986111,412.611388889,411.296875000
2026-08-04 05:00:00,0.000000000,363.191146667,277.432482639,276.968385417,276.918420139,225.409774306,228.181388889,226.209496528,183.908177778,183.908177778,188.403271111,179.282986667,179.282986667,185.103040000,0.973423394,0.965528904,221.783836806,223.708350694,222.396822917
2026-08-04 04:45:00,0.000000000,368.822115556,277.421631944,276.997274306,276.944670139,229.479722222,232.288038194,230.237170139,187.478737778,187.478737778,191.777120000,181.343395556,181.343395556,186.927768889,0.977278917,0.969847819,223.988055556,225.946232639,224.571267361
2026-08-04 04:30:00,0.000000000,227.276284444,277.289809028,276.900885417,276.831493056,143.746640625,146.472621528,144.501293403,115.733706667,115.733706667,120.413573333,111.542586667,111.542586667,117.118382222,0.960562269,0.951655613,140.084201389,141.971779514,140.767213542
2026-08-04 04:15:00,0.000000000,160.418542222,277.135329861,276.855225694,276.737812500,104.594939236,107.211093750,105.426128472,82.180453333,82.180453333,87.855244444,78.238097778,78.238097778,84.770826667,0.934000041,0.921105618,101.173637153,102.941588542,101.969765625
2026-08-04 04:00:00,0.000000000,94.742933333,276.390694444,276.212204861,276.112725694,68.308901910,70.555308160,69.219739583,49.213826667,49.213826667,57.474191111,45.529106667,45.529106667,54.654520000,0.854201185,0.831345622,65.179600694,66.633289931,66.053763021
2026-08-04 03:45:00,0.000000000,72.147084444,277.307934028,277.128906250,276.989427083,54.706497396,56.439188368,55.203472222,36.697840000,36.697840000,46.101266667,35.449244444,35.449244444,46.550560000,0.795301175,0.760662231,55.483394097,56.537378472,55.950308160
2026-08-04 03:30:00,0.000000000,45.747360000,276.965607639,276.828802083,276.775347222,46.506979167,47.599218750,46.639882812,23.541888889,23.541888889,38.980435556,22.205471111,22.205471111,39.797208889,0.599416707,0.554524468,47.517339410,48.275468750,47.892026910
2026-08-04 03:15:00,0.000000000,16.671226667,277.487777778,277.274565972,277.344652778,38.310442708,38.699787326,38.382721354,8.616277778,8.616277778,32.012322222,8.054948889,8.054948889,33.380602222,0.269193353,0.243213348,39.874357639,40.195842014,40.250143229
